query_id,query_text,hit@10,precision@10,recall@10,mrr@10,ap@10,ndcg@10
76,Write a function to find words that are longer than n characters from a given list of words.,1.0,0.3,1.0,1.0,1.0,1.0
77,Write a function to calculate whether the matrix is a magic square.,1.0,0.3,1.0,1.0,1.0,1.0
78,Write a function to find the item with maximum frequency in a given list.,1.0,0.3,1.0,1.0,1.0,1.0
79,Write a python function to reverse only the vowels of a given string (where y is not a vowel).,1.0,0.3,1.0,1.0,1.0,1.0
80,Write a function to convert a tuple to a string.,1.0,0.3,1.0,1.0,1.0,1.0
81,Write a function to calculate the sum of the negative numbers of a given list of numbers.,1.0,0.3,1.0,1.0,1.0,1.0
82,Write a function to find the nth hexagonal number.,1.0,0.3,1.0,1.0,1.0,1.0
83,Write a function to find the ratio of zeroes to non-zeroes in an array of integers.,1.0,0.3,1.0,1.0,1.0,1.0
84,Write a python function to check whether the given number can be represented as sum of non-zero powers of 2 or not.,1.0,0.3,1.0,1.0,1.0,1.0
85,Write a function to find the circumference of a circle.,1.0,0.3,1.0,1.0,1.0,1.0
86,Write a function to sort a list of elements.,1.0,0.3,1.0,1.0,1.0,1.0
87,Write a python function to find the smallest power of 2 greater than or equal to n.,1.0,0.3,1.0,1.0,1.0,1.0
88,Write a python function to check whether all the bits are unset in the given range or not.,1.0,0.3,1.0,1.0,1.0,1.0
89,Write a python function that takes in a positive integer n and finds the sum of even index binomial coefficients.,1.0,0.3,1.0,1.0,1.0,1.0
90,Write a function to flatten the list of lists into a single set of numbers.,1.0,0.3,1.0,1.0,1.0,1.0
91,Write a function to count number items that are identical in the same position of three given lists.,1.0,0.3,1.0,1.0,1.0,1.0
92,Write a function to find number of lists present in the given tuple.,1.0,0.3,1.0,1.0,1.0,1.0
93,Write a python function to find the maximum difference between any two elements in a given array.,1.0,0.3,1.0,1.0,1.0,1.0
94,"Write a function that returns integers x and y that satisfy ax + by = n as a tuple, or return None if no solution exists.",1.0,0.3,1.0,1.0,1.0,1.0
95,Write a function to remove all elements from a given list present in another list.,1.0,0.3,1.0,1.0,1.0,1.0
96,"Write a function to calculate the sum (n - 2*i) from i=0 to n // 2, for instance n + (n-2) + (n-4)... (until n-x =< 0).",1.0,0.3,1.0,1.0,1.0,1.0
97,Write a function to calculate the area of a regular polygon given the length and number of its sides.,1.0,0.3,1.0,1.0,1.0,1.0
98,Write a function to determine if the sum of the divisors of two integers are the same.,1.0,0.3,1.0,1.0,1.0,1.0
99,Write a function to count the number of characters in a string that occur at the same position in the string as in the English alphabet (case insensitive).,1.0,0.3,1.0,1.0,1.0,1.0
100,Write a function that counts the number of pairs of integers in a list that xor to an even number.,1.0,0.3,1.0,1.0,1.0,1.0
101,Write a function to count the number of occurrences of a number in a given list.,1.0,0.3,1.0,1.0,1.0,1.0
102,Write a function to find the sum of numbers in a list within a range specified by two indices.,1.0,0.3,1.0,1.0,1.0,1.0
103,Write a function to find the perimeter of a regular pentagon from the length of its sides.,1.0,0.3,1.0,1.0,1.0,1.0
104,Write a function to count the number of occurence of the string 'std' in a given string.,1.0,0.3,1.0,1.0,1.0,1.0
105,Write a function to check if all the elements in tuple have same data type or not.,1.0,0.3,1.0,1.0,1.0,1.0
106,"Write a function that takes in a sorted array, its length (n), and an element and returns whether the element is the majority element in the given sorted array. (The majority element is the element that occurs more than n/2 times.)",1.0,0.3,1.0,1.0,1.0,1.0
107,Write a function to count the number of set bits (binary digits with value 1) in a given number.,1.0,0.3,1.0,1.0,1.0,1.0
108,Write a python function to remove the characters which have odd index values of a given string.,1.0,0.3,1.0,1.0,1.0,1.0
109,Write a function to find minimum of three numbers.,1.0,0.3,1.0,1.0,1.0,1.0
110,"Write a function that takes in an array and an integer n, and re-arranges the first n elements of the given array so that all negative elements appear before positive ones, and where the relative order among negative and positive elements is preserved.",1.0,0.3,1.0,1.0,1.0,1.0
111,"Write a function that takes in a string and character, replaces blank spaces in the string with the character, and returns the string.",1.0,0.3,1.0,1.0,1.0,1.0
112,"Write a function that takes in a list and an integer n and splits the given list into two parts where the length of the first part of the list is L, and returns the resulting lists in a tuple.",1.0,0.3,1.0,1.0,1.0,1.0
113,Write a function to calculate a dog's age in dog's years.,1.0,0.3,1.0,1.0,1.0,1.0
114,"Write a function that takes in a list and an integer n and splits a list for every nth element, returning a list of the resulting lists.",1.0,0.3,1.0,1.0,1.0,1.0
115,Write a function to find the lateral surface area of a cube given its side length.,1.0,0.3,1.0,1.0,1.0,1.0
116,Write a python function that takes in an integer n and returns the sum of the squares of the first n odd natural numbers.,1.0,0.3,1.0,1.0,1.0,1.0
117,Write a function to find the n'th star number.,1.0,0.3,1.0,1.0,1.0,1.0
118,Write a function to find the ascii value of a character.,1.0,0.3,1.0,1.0,1.0,1.0
119,Write a python function to find the sum of even numbers at even positions of a list.,1.0,0.3,1.0,1.0,1.0,1.0
120,Write a python function that takes in an integer n and finds the sum of the first n even natural numbers that are raised to the fifth power.,1.0,0.3,1.0,1.0,1.0,1.0
121,Write a function that takes in a list of tuples and returns a list containing the rear element of each tuple.,1.0,0.3,1.0,1.0,1.0,1.0
122,Write a function that takes in two tuples and subtracts the elements of the first tuple by the elements of the second tuple with the same index.,1.0,0.3,1.0,1.0,1.0,1.0
123,Write a function that takes in the radius and height of a cylinder and returns the the volume.,1.0,0.3,1.0,1.0,1.0,1.0
124,Write a function that takes in a dictionary and integer n and filters the dictionary to only include entries with values greater than or equal to n.,1.0,0.3,1.0,1.0,1.0,1.0
125,Write a function to find the number of elements that occurs before the tuple element in the given tuple.,1.0,0.3,1.0,1.0,1.0,1.0
126,Write a function to find the nth decagonal number.,1.0,0.3,1.0,1.0,1.0,1.0
127,Write a function that takes in an array and element and returns a tuple containing a boolean that indicates if the element is in the array and the index position of the element (or -1 if the element is not found).,1.0,0.3,1.0,1.0,1.0,1.0
128,Write a python function to check if the elements of a given list are unique or not.,1.0,0.3,1.0,1.0,1.0,1.0
129,Write a function to subtract two lists element-wise.,1.0,0.3,1.0,1.0,1.0,1.0
130,Write a python function takes in an integer and check whether the frequency of each digit in the integer is less than or equal to the digit itself.,1.0,0.3,1.0,1.0,1.0,1.0
131,Write a function that takes in a list and element and checks whether all items in the list are equal to the given element.,1.0,0.3,1.0,1.0,1.0,1.0
132,Write a function that checks whether a string contains the 'a' character followed by two or three 'b' characters.,1.0,0.3,1.0,1.0,1.0,1.0
133,Write a function to find the largest sum of a contiguous array in the modified array which is formed by repeating the given array k times.,1.0,0.3,1.0,1.0,1.0,1.0
134,Write a python function takes in an integer n and returns the sum of squares of first n even natural numbers.,1.0,0.3,1.0,1.0,1.0,1.0
135,Write a function to find the list of maximum length in a list of lists.,1.0,0.3,1.0,1.0,1.0,1.0
136,Write a function to find out the number of ways of painting the fence such that at most 2 adjacent posts have the same color for the given fence with n posts and k colors.,1.0,0.3,1.0,1.0,1.0,1.0
137,Write a python function to find quotient of two numbers (rounded down to the nearest integer).,1.0,0.3,1.0,1.0,1.0,1.0
138,Write a function to find the third side of a right angled triangle.,1.0,0.3,1.0,1.0,1.0,1.0
139,Write a function to find the maximum value in a given heterogeneous list.,1.0,0.3,1.0,1.0,1.0,1.0
140,Write a function to return the sum of all divisors of a number.,1.0,0.3,1.0,1.0,1.0,1.0
141,Write a python function to count inversions in an array.,1.0,0.3,1.0,1.0,1.0,1.0
142,Write a function to flatten a given nested list structure.,1.0,0.3,1.0,1.0,1.0,1.0
143,Write a function to calculate the maximum aggregate from the list of tuples.,1.0,0.3,1.0,1.0,1.0,1.0
144,Write a function to find the count of all binary sequences of length 2n such that sum of first n bits is same as sum of last n bits.,1.0,0.3,1.0,1.0,1.0,1.0
145,Write a function to find the depth of a dictionary.,1.0,0.3,1.0,1.0,1.0,1.0
146,Write a python function to find element at a given index after number of rotations.,1.0,0.3,1.0,1.0,1.0,1.0
147,Write a function to return two words from a list of words starting with letter 'p'.,1.0,0.3,1.0,1.0,1.0,1.0
148,"Write a function to find the maximum sum of increasing subsequence from prefix until ith index and also including a given kth element which is after i, i.e., k > i .",1.0,0.3,1.0,1.0,1.0,1.0
149,Write a function to get a colon of a tuple.,1.0,0.3,1.0,1.0,1.0,1.0
150,"Write a function to find the specified number of largest products from two given lists, selecting one factor from each list.",1.0,0.3,1.0,1.0,1.0,1.0
151,Write a python function to find the maximum of two numbers.,1.0,0.3,1.0,1.0,1.0,1.0
152,Write a function to convert a given string to a tuple of characters.,1.0,0.3,1.0,1.0,1.0,1.0
153,Write a python function to set the left most unset bit.,1.0,0.3,1.0,1.0,1.0,1.0
154,Write a function to find the volume of a cone.,1.0,0.3,1.0,1.0,1.0,1.0
155,Write a function to find the list with maximum length.,1.0,0.3,1.0,1.0,1.0,1.0
156,Write a python function to find the highest power of 2 that is less than or equal to n.,1.0,0.3,1.0,1.0,1.0,1.0
157,Write a function to find the n'th lucas number.,1.0,0.3,1.0,1.0,1.0,1.0
158,Write a function to apply a given format string to all of the elements in a list.,1.0,0.3,1.0,1.0,1.0,1.0
159,Write a function to convert more than one list to nested dictionary.,1.0,0.3,1.0,1.0,1.0,1.0
160,"Write a function to find the maximum sum possible by using the given equation f(n) = max( (f(n/2) + f(n/3) + f(n/4) + f(n/5)), n).",1.0,0.3,1.0,1.0,1.0,1.0
161,Write a function to check if given tuple contains no duplicates.,1.0,0.3,1.0,1.0,1.0,1.0
162,Write a python function to find the first non-repeated character in a given string.,1.0,0.3,1.0,1.0,1.0,1.0
163,Write a function to check whether the given string starts and ends with the same character or not.,1.0,0.3,1.0,1.0,1.0,1.0
164,Write a function to find the median of three numbers.,1.0,0.3,1.0,1.0,1.0,1.0
165,Write a function to compute the sum of digits of each number of a given list.,1.0,0.3,1.0,1.0,1.0,1.0
166,Write a function to perform the mathematical bitwise xor operation across the given tuples.,1.0,0.3,1.0,1.0,1.0,1.0
167,Write a function to extract the number of unique tuples in the given list.,1.0,0.3,1.0,1.0,1.0,1.0
168,Write a function to perform index wise addition of tuple elements in the given two nested tuples.,1.0,0.3,1.0,1.0,1.0,1.0
169,Write a python function to find the minimum of two numbers.,1.0,0.3,1.0,1.0,1.0,1.0
170,Write a function to check whether an element exists within a tuple.,1.0,0.3,1.0,1.0,1.0,1.0
171,Write a python function to find whether the parity of a given number is odd.,1.0,0.3,1.0,1.0,1.0,1.0
172,Write a function to create the next bigger number by rearranging the digits of a given number.,1.0,0.3,1.0,1.0,1.0,1.0
173,Write a function to find k number of smallest pairs which consist of one element from the first array and one element from the second array.,1.0,0.3,1.0,1.0,1.0,1.0
174,Write a function to find the minimum product from the pairs of tuples within a given list.,1.0,0.3,1.0,1.0,1.0,1.0
175,Write a function to find the minimum value in a given heterogeneous list.,1.0,0.3,1.0,1.0,1.0,1.0
176,Write a function to convert the given snake case string to camel case string.,1.0,0.3,1.0,1.0,1.0,1.0
177,Write a python function to remove odd numbers from a given list.,1.0,0.3,1.0,1.0,1.0,1.0
178,Write a function to extract the nth element from a given list of tuples.,1.0,0.3,1.0,1.0,1.0,1.0
179,Write a python function to check whether any value in a sequence exists in a sequence or not.,1.0,0.3,1.0,1.0,1.0,1.0
180,Write a python function to find a pair with highest product from a given array of integers.,1.0,0.3,1.0,1.0,1.0,1.0
181,Write a function to find common first element in given list of tuple.,1.0,0.3,1.0,1.0,1.0,1.0
182,Write a python function to find element of a list having maximum length.,1.0,0.3,1.0,1.0,1.0,1.0
183,Write a function to round every number of a given list of numbers and print the total sum multiplied by the length of the list.,1.0,0.3,1.0,1.0,1.0,1.0
184,Write a python function to find the cube sum of first n even natural numbers.,1.0,0.3,1.0,1.0,1.0,1.0
185,Write a function to concatenate each element of tuple by the delimiter.,1.0,0.3,1.0,1.0,1.0,1.0
186,Write a python function to find the average of cubes of first n natural numbers.,1.0,0.3,1.0,1.0,1.0,1.0
187,Write a function to extract only the rear index element of each string in the given tuple.,1.0,0.3,1.0,1.0,1.0,1.0
188,Write a function to count the number of sublists containing a particular element.,1.0,0.3,1.0,1.0,1.0,1.0
189,Write a function to filter odd numbers.,1.0,0.3,1.0,1.0,1.0,1.0
190,Write a function to convert a date of yyyy-mm-dd format to dd-mm-yyyy format.,1.0,0.3,1.0,1.0,1.0,1.0
191,Write a function to sort the given array by using shell sort.,1.0,0.3,1.0,1.0,1.0,1.0
192,Write a function to extract the elementwise and tuples from the given two tuples.,1.0,0.3,1.0,1.0,1.0,1.0
193,Write a function to find the directrix of a parabola.,1.0,0.3,1.0,1.0,1.0,1.0
194,Write a function that takes two lists and returns true if they have at least one common element.,1.0,0.3,1.0,1.0,1.0,1.0
195,Write a function to find the median length of a trapezium.,1.0,0.3,1.0,1.0,1.0,1.0
196,Write a function to check whether the entered number is greater than the elements of the given array.,1.0,0.3,1.0,1.0,1.0,1.0
197,Write a function that matches a string that has an a followed by one or more b's.,1.0,0.3,1.0,1.0,1.0,1.0
198,Write a python function to find the last digit of a given number.,1.0,0.3,1.0,1.0,1.0,1.0
199,Write a python function to return the negative numbers in a list.,1.0,0.3,1.0,1.0,1.0,1.0
200,Write a function to remove odd characters in a string.,1.0,0.3,1.0,1.0,1.0,1.0
201,Write a function to count bidirectional tuple pairs.,1.0,0.3,1.0,1.0,1.0,1.0
202,Write a function to join a list of multiple integers into a single integer.,1.0,0.3,1.0,1.0,1.0,1.0
203,Write a function to find the first adverb and their positions in a given sentence.,1.0,0.3,1.0,1.0,1.0,1.0
204,Write a function to find the surface area of a cube of a given size.,1.0,0.3,1.0,1.0,1.0,1.0
205,Write a function to find the ration of positive numbers in an array of integers.,1.0,0.3,1.0,1.0,1.0,1.0
206,Write a python function to find the largest negative number from the given list.,1.0,0.3,1.0,1.0,1.0,1.0
207,Write a function to trim each tuple by k in the given tuple list.,1.0,0.3,1.0,1.0,1.0,1.0
208,Write a function to perform index wise multiplication of tuple elements in the given two tuples.,1.0,0.3,1.0,1.0,1.0,1.0
209,Write a python function to count the occurence of all elements of list in a tuple.,1.0,0.3,1.0,1.0,1.0,1.0
210,Write a function to find cubes of individual elements in a list.,1.0,0.3,1.0,1.0,1.0,1.0
211,Write a function to calculate the sum of perrin numbers.,1.0,0.3,1.0,1.0,1.0,1.0
212,Write a function to extract specified size of strings from a given list of string values.,1.0,0.3,1.0,1.0,1.0,1.0
213,Write a function to remove all whitespaces from the given string.,1.0,0.3,1.0,1.0,1.0,1.0
214,Write a function that gives loss amount on a sale if the given amount has loss else return 0.,1.0,0.3,1.0,1.0,1.0,1.0
215,Write a python function to find the sum of even factors of a number.,1.0,0.3,1.0,1.0,1.0,1.0
216,Write a function that matches a word containing 'z'.,1.0,0.3,1.0,1.0,1.0,1.0
217,Write a function to check whether the given month number contains 31 days or not.,1.0,0.3,1.0,1.0,1.0,1.0
218,Write a function to reverse each string in a given list of string values.,1.0,0.3,1.0,1.0,0.8333333333333334,0.9325210919548239
219,Write a python function to find the sublist having minimum length.,1.0,0.3,1.0,1.0,1.0,1.0
220,Write a function to find the area of a rectangle.,1.0,0.3,1.0,1.0,1.0,1.0
221,Write a function to remove uppercase substrings from a given string.,1.0,0.3,1.0,1.0,1.0,1.0
222,Write a python function to get the first element of each sublist.,1.0,0.3,1.0,1.0,1.0,1.0
223,Write a python function to count the upper case characters in a given string.,1.0,0.3,1.0,1.0,1.0,1.0
224,Write a function to find all possible combinations of the elements of a given list.,1.0,0.3,1.0,1.0,1.0,1.0
225,Write a function to find the maximum product subarray of the given array.,1.0,0.3,1.0,1.0,1.0,1.0
226,Write a function to check whether the given dictionary is empty,1.0,0.3,1.0,1.0,1.0,1.0
227,Write a function to drop empty items from a given dictionary.,1.0,0.3,1.0,1.0,1.0,1.0
228,Write a function to find the maximum product formed by multiplying numbers of an increasing subsequence of that array.,1.0,0.3,1.0,1.0,1.0,1.0
229,Write a function to find the pairwise addition of the neighboring elements of the given tuple.,1.0,0.3,1.0,1.0,1.0,1.0
230,Write a python function to find the product of the array multiplication modulo n.,1.0,0.3,1.0,1.0,1.0,1.0
231,Write a python function to check whether the given list contains consecutive numbers or not.,1.0,0.3,1.0,1.0,1.0,1.0
232,Write a function to find the tuple intersection of elements in the given tuple list irrespective of their order.,1.0,0.3,1.0,1.0,1.0,1.0
233,Write a function to replace characters in a string.,1.0,0.3,1.0,1.0,1.0,1.0
234,Write a function to sort a dictionary by value.,1.0,0.3,1.0,1.0,1.0,1.0
235,Write a python function to find the sum of the largest and smallest value in a given array.,1.0,0.3,1.0,1.0,1.0,1.0
236,Write a python function to convert the given string to lower case.,1.0,0.3,1.0,1.0,1.0,1.0
237,Write a python function to remove lowercase substrings from a given string.,1.0,0.3,1.0,1.0,1.0,1.0
238,Write a python function to find the first digit of a given number.,1.0,0.3,1.0,1.0,1.0,1.0
239,Write a python function which takes a list of integers and only returns the odd ones.,1.0,0.3,1.0,1.0,1.0,1.0
240,Write a python function to find the difference between the sum of cubes of the first n natural numbers and the sum of the first n natural numbers.,1.0,0.3,1.0,1.0,1.0,1.0
241,Write a python function to count the number of pairs whose xor value is odd.,1.0,0.3,1.0,1.0,1.0,1.0
242,Write a function to toggle the case of all characters in a string.,1.0,0.3,1.0,1.0,1.0,1.0
243,Write a python function to find the sum of the per-digit difference between two integers.,1.0,0.3,1.0,1.0,1.0,1.0
244,Write a function to find the sum of the largest contiguous sublist in the given list.,1.0,0.3,1.0,1.0,1.0,1.0
245,Write a function to find the union of the elements of two given tuples and output them in sorted order.,1.0,0.3,1.0,1.0,1.0,1.0
246,Write a python function to find the length of the longest sublists.,1.0,0.3,1.0,1.0,1.0,1.0
247,Write a function to extract values between quotation marks from a string.,1.0,0.3,1.0,1.0,1.0,1.0
248,Write a python function which takes a list of integers and counts the number of possible unordered pairs where both elements are unequal.,1.0,0.3,1.0,1.0,1.0,1.0
249,Write a python function to split a string into characters.,1.0,0.3,1.0,1.0,1.0,1.0
250,Write a function to get the sum of the digits of a non-negative integer.,1.0,0.3,1.0,1.0,1.0,1.0
251,Write a function to check whether a specified list is sorted or not.,1.0,0.3,1.0,1.0,1.0,1.0
252,Write a function to create a list of N empty dictionaries.,1.0,0.3,1.0,1.0,1.0,1.0
253,Write a function to sort each sublist of strings in a given list of lists.,1.0,0.3,1.0,1.0,1.0,1.0
254,Write a python function to remove duplicate numbers from a given number of lists.,1.0,0.3,1.0,1.0,1.0,1.0
255,Write a python function to calculate the product of the unique numbers in a given list.,1.0,0.3,1.0,1.0,1.0,1.0
256,Write a function to find the surface area of a cylinder.,1.0,0.3,1.0,1.0,1.0,1.0
257,Write a python function to check whether a list is sublist of another or not.,1.0,0.3,1.0,1.0,1.0,1.0
258,Write a python function to find the last digit in factorial of a given number.,1.0,0.3,1.0,1.0,1.0,1.0
259,Write a python function to interleave 3 lists of the same length into a single flat list.,1.0,0.3,1.0,1.0,1.0,1.0
260,Write a function to find the dissimilar elements in the given two tuples.,1.0,0.3,1.0,1.0,1.0,1.0
261,Write a function to remove uneven elements in the nested mixed tuple.,1.0,0.3,1.0,1.0,1.0,1.0
262,Write a python function to find the surface area of a square pyramid with a given base edge and height.,1.0,0.3,1.0,1.0,1.0,1.0
263,Write a function to check if a dictionary is empty,1.0,0.3,1.0,1.0,1.0,1.0
264,Write a function which returns nth catalan number.,1.0,0.3,1.0,1.0,1.0,1.0
265,Write a function to find the first adverb ending with ly and its positions in a given sentence.,1.0,0.3,1.0,1.0,1.0,1.0
266,Write a function to find the n most expensive items in a given dataset.,1.0,0.3,1.0,1.0,1.0,1.0
267,Write a python function to split a list at the nth eelment and add the first part to the end.,1.0,0.3,1.0,1.0,1.0,1.0
268,Write a function to convert a list to a tuple.,1.0,0.3,1.0,1.0,1.0,1.0
269,Write a python function to find the difference between largest and smallest value in a given list.,1.0,0.3,1.0,1.0,1.0,1.0
270,Write a function to find perfect squares between two given numbers.,1.0,0.3,1.0,1.0,1.0,1.0
271,Write a function to convert polar coordinates to rectangular coordinates.,1.0,0.3,1.0,1.0,1.0,1.0
272,Write a python function to interchange the first and last elements in a list.,1.0,0.3,1.0,1.0,1.0,1.0
273,Write a python function to find the sum of the product of consecutive binomial co-efficients.,1.0,0.3,1.0,1.0,1.0,1.0
274,Write a function to remove leading zeroes from an ip address.,1.0,0.3,1.0,1.0,1.0,1.0
275,Write a function to find the difference of the first even and first odd number of a given list.,1.0,0.3,1.0,1.0,0.9166666666666666,0.9674679834891693
